year,month,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
1987,10,444380,6.0031,3,0.5972,0.1729,0.0578,0.0137
1987,11,416233,8.4611,4,0.6124,0.2110,0.0888,0.0299
1987,12,426685,13.9841,6,0.6730,0.2975,0.1487,0.0555
1988,1,418635,12.0526,4,0.6249,0.2619,0.1362,0.0533
1988,2,403742,9.3780,3,0.5995,0.2213,0.1036,0.0376
1988,3,440633,7.0840,3,0.5785,0.1884,0.0768,0.0250
1988,4,423595,5.1706,1,0.5173,0.1541,0.0659,0.0243
1988,5,431907,5.9101,1,0.5114,0.1617,0.0774,0.0309
1988,6,428782,3.9428,1,0.5018,0.1398,0.0530,0.0164
1988,7,436394,6.0613,1,0.5132,0.1646,0.0749,0.0286
1988,8,442451,5.1092,1,0.5144,0.1510,0.0633,0.0213
1988,9,420908,3.2945,0,0.4855,0.1265,0.0472,0.0142
1988,10,438340,4.7393,1,0.5264,0.1472,0.0560,0.0172
1988,11,416102,7.8539,3,0.5701,0.2008,0.0903,0.0323
1988,12,432227,8.2289,3,0.5765,0.2138,0.0961,0.0334
1989,1,431006,7.7133,2,0.5545,0.2042,0.0967,0.0351
1989,2,385420,9.3033,4,0.5993,0.2433,0.1159,0.0362
1989,3,410686,10.6538,4,0.6111,0.2478,0.1214,0.0461
1989,4,402546,4.4496,1,0.5144,0.1479,0.0553,0.0176
1989,5,412112,6.8303,2,0.5507,0.1849,0.0807,0.0284
1989,6,400538,11.9765,4,0.6216,0.2537,0.1295,0.0546
1989,7,412475,8.8315,3,0.5855,0.2092,0.0960,0.0371
1989,8,421939,9.7292,4,0.6159,0.2318,0.1045,0.0374
1989,9,408666,6.4139,1,0.5298,0.1794,0.0826,0.0302
1989,10,431594,6.6416,2,0.5441,0.1826,0.0813,0.0280
1989,11,413050,7.1399,2,0.5425,0.1978,0.0929,0.0326
1989,12,418116,11.1970,4,0.5966,0.2644,0.1356,0.0506
1990,1,433238,7.2849,1,0.5245,0.1944,0.0950,0.0360
1990,2,387437,10.5268,3,0.5678,0.2369,0.1275,0.0537
1990,3,436969,8.2504,2,0.5557,0.2085,0.1021,0.0401
1990,4,430414,5.0308,1,0.5218,0.1598,0.0646,0.0206
1990,5,443603,5.9235,1,0.5265,0.1726,0.0762,0.0263
1990,6,433239,6.8483,1,0.5332,0.1795,0.0827,0.0320
1990,7,450332,6.3056,1,0.5094,0.1693,0.0793,0.0309
1990,8,453286,7.7303,2,0.5535,0.1939,0.0912,0.0346
1990,9,430966,3.7740,0,0.4734,0.1359,0.0552,0.0199
1990,10,450907,4.8555,1,0.5108,0.1564,0.0647,0.0209
1990,11,425719,3.1128,0,0.4740,0.1368,0.0534,0.0167
1990,12,424485,12.5480,3,0.5756,0.2647,0.1518,0.0686
1991,1,416127,9.2455,3,0.5623,0.2286,0.1157,0.0441
1991,2,379600,4.3206,0,0.4740,0.1544,0.0694,0.0251
1991,3,424188,5.2345,1,0.5009,0.1783,0.0794,0.0272
1991,4,418204,4.2524,0,0.4773,0.1475,0.0649,0.0244
1991,5,426425,4.5195,0,0.4724,0.1474,0.0679,0.0275
1991,6,421783,3.5263,0,0.4677,0.1312,0.0547,0.0196
1991,7,437905,4.4401,0,0.4766,0.1384,0.0614,0.0234
1991,8,438495,4.6240,0,0.4966,0.1499,0.0628,0.0213
1991,9,414964,1.8894,-1,0.4334,0.1056,0.0402,0.0125
1991,10,428601,4.6713,0,0.4878,0.1455,0.0645,0.0247
1991,11,398267,4.4065,0,0.4913,0.1518,0.0622,0.0218
1991,12,415463,5.6895,1,0.5169,0.1803,0.0784,0.0257
1992,1,417851,4.5447,0,0.4896,0.1598,0.0690,0.0240
1992,2,392468,3.7935,0,0.4881,0.1459,0.0590,0.0180
1992,3,420088,5.2140,1,0.5018,0.1664,0.0739,0.0257
1992,4,413256,2.1524,-1,0.4468,0.1175,0.0442,0.0140
1992,5,422881,2.2894,0,0.4586,0.1185,0.0417,0.0120
1992,6,422799,6.3749,2,0.5388,0.1720,0.0722,0.0253
1992,7,436112,7.8278,2,0.5480,0.1824,0.0833,0.0336
1992,8,436808,6.7874,2,0.5461,0.1742,0.0751,0.0273
1992,9,418237,4.0462,0,0.4680,0.1290,0.0531,0.0209
1992,10,425400,2.4699,-1,0.4467,0.1109,0.0402,0.0135
1992,11,404869,4.0517,0,0.4883,0.1525,0.0623,0.0191
1992,12,416247,8.7355,3,0.5666,0.2298,0.1103,0.0380
1993,1,413940,6.5425,1,0.5188,0.1954,0.0937,0.0317
1993,2,375048,7.4804,1,0.5215,0.2015,0.1001,0.0387
1993,3,414655,9.4345,2,0.5523,0.2190,0.1125,0.0477
1993,4,415879,5.2806,1,0.5015,0.1512,0.0662,0.0265
1993,5,427711,2.6157,0,0.4515,0.1141,0.0426,0.0141
1993,6,420361,5.3085,0,0.4893,0.1485,0.0655,0.0258
1993,7,433484,2.9414,0,0.4513,0.1240,0.0491,0.0154
1993,8,438575,4.3118,0,0.4725,0.1425,0.0623,0.0226
1993,9,412716,3.8483,0,0.4582,0.1363,0.0606,0.0220
1993,10,425085,4.7732,0,0.4914,0.1521,0.0662,0.0216
1993,11,402003,5.5373,0,0.4984,0.1652,0.0741,0.0288
1993,12,419854,6.5215,1,0.5279,0.1920,0.0879,0.0300
1994,1,401448,10.6988,3,0.5640,0.2439,0.1316,0.0542
1994,2,368453,9.2117,2,0.5338,0.2132,0.1117,0.0481
1994,3,429259,4.5109,0,0.4754,0.1520,0.0681,0.0252
1994,4,417458,5.3113,0,0.4842,0.1532,0.0740,0.0288
1994,5,433880,2.3464,-1,0.4398,0.1095,0.0433,0.0152
1994,6,422465,6.6092,1,0.5119,0.1634,0.0769,0.0323
1994,7,438474,7.8788,1,0.5307,0.1847,0.0912,0.0385
1994,8,447296,5.2125,0,0.4943,0.1450,0.0634,0.0244
1994,9,428391,2.0342,-1,0.4360,0.1064,0.0410,0.0129
1994,10,446288,3.4958,0,0.4593,0.1252,0.0534,0.0215
1994,11,424598,5.5758,1,0.5082,0.1741,0.0787,0.0273
1994,12,441110,5.9776,1,0.5240,0.1860,0.0834,0.0272
1995,1,449223,8.9212,2,0.5452,0.2241,0.1190,0.0467
1995,2,407520,6.1239,1,0.5007,0.1795,0.0870,0.0321
1995,3,444853,5.7754,1,0.5028,0.1762,0.0835,0.0303
