day_shift,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
-3,00:00:00,621,1.4428,-5,0.3543,0.1498,0.0821,0.0370
-3,01:00:00,247,-3.8421,-7,0.3320,0.1134,0.0526,0.0121
-3,02:00:00,64,6.8594,-6,0.3906,0.2031,0.1562,0.1094
-3,03:00:00,27,10.4444,-4,0.4074,0.3704,0.2593,0.1481
-3,04:00:00,60,-3.2333,-6,0.3333,0.1000,0.0667,0.0000
-3,05:00:00,4671,-2.3455,-7,0.2608,0.0835,0.0417,0.0212
-3,06:00:00,25847,-1.8137,-6,0.2807,0.0896,0.0433,0.0212
-3,07:00:00,25080,-0.9449,-6,0.3068,0.1083,0.0569,0.0260
-3,08:00:00,26091,1.2188,-5,0.3333,0.1340,0.0742,0.0350
-3,09:00:00,22281,2.5305,-5,0.3520,0.1474,0.0822,0.0392
-3,10:00:00,23964,3.2941,-4,0.3749,0.1611,0.0928,0.0418
-3,11:00:00,24186,4.2535,-3,0.3918,0.1733,0.1000,0.0482
-3,12:00:00,23053,6.0047,-3,0.4165,0.1942,0.1132,0.0547
-3,13:00:00,23994,7.6285,-2,0.4399,0.2158,0.1297,0.0627
-3,14:00:00,22833,8.8458,-1,0.4617,0.2388,0.1438,0.0675
-3,15:00:00,22818,9.3339,-1,0.4647,0.2410,0.1448,0.0696
-3,16:00:00,22960,9.9606,-1,0.4730,0.2546,0.1583,0.0734
-3,17:00:00,25989,11.0102,-1,0.4749,0.2616,0.1670,0.0852
-3,18:00:00,21316,13.1555,1,0.5043,0.2885,0.1866,0.0941
-3,19:00:00,22161,11.9833,-1,0.4770,0.2741,0.1773,0.0888
-3,20:00:00,15268,12.3792,0,0.4980,0.2845,0.1856,0.0909
-3,21:00:00,11515,11.8276,0,0.4875,0.2702,0.1778,0.0868
-3,22:00:00,5804,3.9909,-4,0.3730,0.1835,0.1127,0.0503
-3,23:00:00,2086,3.3140,-4,0.3816,0.1740,0.1083,0.0542
-2,00:00:00,582,0.5842,-5,0.3574,0.1564,0.0756,0.0344
-2,01:00:00,235,-3.5362,-6,0.3362,0.1021,0.0468,0.0170
-2,02:00:00,68,-1.1324,-6,0.3529,0.1324,0.0735,0.0441
-2,03:00:00,27,4.8148,-4,0.4444,0.1481,0.1111,0.0741
-2,04:00:00,56,2.6250,-7,0.3214,0.1786,0.1250,0.0714
-2,05:00:00,4104,-0.8789,-7,0.2680,0.0941,0.0517,0.0275
-2,06:00:00,21480,-2.0232,-7,0.2717,0.0901,0.0468,0.0241
-2,07:00:00,22611,-2.3442,-7,0.2745,0.0972,0.0514,0.0247
-2,08:00:00,24051,-0.3112,-6,0.3092,0.1200,0.0653,0.0308
-2,09:00:00,21080,0.4426,-6,0.3264,0.1304,0.0693,0.0313
-2,10:00:00,22344,1.3863,-5,0.3415,0.1435,0.0782,0.0340
-2,11:00:00,22517,1.8851,-5,0.3546,0.1521,0.0826,0.0369
-2,12:00:00,21461,3.0330,-4,0.3705,0.1648,0.0916,0.0400
-2,13:00:00,22233,3.7210,-4,0.3795,0.1781,0.1028,0.0450
-2,14:00:00,20733,4.7051,-4,0.3967,0.1956,0.1146,0.0490
-2,15:00:00,20290,4.6023,-4,0.3988,0.1987,0.1141,0.0515
-2,16:00:00,19851,5.7939,-4,0.4044,0.2113,0.1290,0.0610
-2,17:00:00,21007,5.6737,-4,0.4065,0.2174,0.1307,0.0607
-2,18:00:00,15824,7.0802,-3,0.4208,0.2338,0.1454,0.0696
-2,19:00:00,16064,5.8971,-4,0.3983,0.2235,0.1401,0.0646
-2,20:00:00,10235,6.6720,-3,0.4189,0.2316,0.1446,0.0646
-2,21:00:00,7221,6.3347,-3,0.4231,0.2285,0.1360,0.0607
-2,22:00:00,4612,1.3176,-6,0.3359,0.1631,0.0963,0.0447
-2,23:00:00,1737,0.8233,-6,0.3414,0.1727,0.0938,0.0368
-1,00:00:00,529,-1.3819,-6,0.3214,0.1342,0.0718,0.0340
-1,01:00:00,221,-4.3891,-9,0.2624,0.1222,0.0543,0.0226
-1,02:00:00,66,0.6970,-7,0.3333,0.1970,0.0758,0.0455
-1,03:00:00,26,5.3846,-7,0.4231,0.2308,0.1923,0.0769
-1,04:00:00,58,0.4655,-6,0.3276,0.1379,0.0690,0.0345
-1,05:00:00,3629,-1.2083,-8,0.2538,0.0857,0.0463,0.0276
-1,06:00:00,19012,-3.1098,-8,0.2506,0.0877,0.0462,0.0226
-1,07:00:00,19994,-3.0352,-8,0.2572,0.0964,0.0502,0.0252
-1,08:00:00,22552,-1.6080,-7,0.2793,0.1095,0.0601,0.0267
-1,09:00:00,20511,-1.2808,-7,0.2897,0.1160,0.0632,0.0289
-1,10:00:00,22709,-0.6330,-7,0.2959,0.1207,0.0662,0.0303
-1,11:00:00,23338,0.3636,-6,0.3154,0.1312,0.0739,0.0342
-1,12:00:00,22463,1.3426,-6,0.3345,0.1436,0.0790,0.0373
-1,13:00:00,23228,1.8525,-5,0.3462,0.1524,0.0864,0.0393
-1,14:00:00,21930,2.9953,-5,0.3600,0.1676,0.0987,0.0463
-1,15:00:00,21599,3.2759,-5,0.3656,0.1728,0.1013,0.0475
-1,16:00:00,21357,3.6430,-5,0.3662,0.1804,0.1074,0.0521
-1,17:00:00,23794,4.1970,-5,0.3745,0.1888,0.1174,0.0582
-1,18:00:00,19260,4.1613,-4,0.3901,0.1978,0.1178,0.0543
-1,19:00:00,19633,4.2330,-5,0.3751,0.1923,0.1195,0.0582
-1,20:00:00,13213,3.8210,-4,0.3803,0.1869,0.1124,0.0520
-1,21:00:00,9555,3.5104,-5,0.3683,0.1832,0.1109,0.0524
-1,22:00:00,5272,0.0717,-6,0.3310,0.1472,0.0814,0.0360
-1,23:00:00,1813,-3.3707,-8,0.2945,0.1241,0.0684,0.0320
0,00:00:00,530,-4.0585,-8,0.2849,0.1000,0.0509,0.0132
0,01:00:00,222,-6.6351,-10,0.2613,0.0901,0.0315,0.0045
0,02:00:00,62,-7.7903,-10,0.2742,0.1290,0.0323,0.0000
0,03:00:00,25,-6.8400,-11,0.3200,0.1600,0.0800,0.0000
0,04:00:00,58,-2.3448,-7,0.3276,0.1034,0.0517,0.0345
0,05:00:00,4150,-2.6523,-8,0.2402,0.0723,0.0383,0.0224
0,06:00:00,22736,-3.2672,-8,0.2420,0.0778,0.0403,0.0202
0,07:00:00,22442,-3.2514,-8,0.2599,0.0954,0.0494,0.0225
0,08:00:00,24023,-1.5659,-7,0.2849,0.1099,0.0595,0.0278
0,09:00:00,21196,-0.8558,-7,0.2969,0.1182,0.0670,0.0326
0,10:00:00,23320,0.0660,-6,0.3047,0.1288,0.0736,0.0356
0,11:00:00,23556,0.6686,-6,0.3164,0.1353,0.0751,0.0343
0,12:00:00,22425,2.1145,-5,0.3404,0.1544,0.0902,0.0429
0,13:00:00,23069,3.2649,-5,0.3540,0.1649,0.0965,0.0463
0,14:00:00,21534,5.0906,-4,0.3814,0.1874,0.1116,0.0543
0,15:00:00,21397,5.4034,-4,0.3909,0.1952,0.1176,0.0585
0,16:00:00,20905,6.7427,-3,0.4071,0.2121,0.1298,0.0635
0,17:00:00,23365,6.7410,-3,0.4113,0.2146,0.1319,0.0651
0,18:00:00,18886,8.5375,-2,0.4365,0.2393,0.1487,0.0749
0,19:00:00,19251,8.0248,-3,0.4335,0.2407,0.1518,0.0714
0,20:00:00,13108,8.1189,-2,0.4363,0.2389,0.1527,0.0715
0,21:00:00,9623,6.9041,-3,0.4302,0.2229,0.1335,0.0661
0,22:00:00,4943,0.9162,-5,0.3453,0.1529,0.0904,0.0388
0,23:00:00,1843,-0.1194,-6,0.3451,0.1503,0.0868,0.0434
1,00:00:00,482,-2.3859,-6,0.3195,0.0996,0.0456,0.0228
1,01:00:00,208,-4.2260,-9,0.2596,0.1154,0.0625,0.0192
