day_shift,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
-3,00:00:00,140,4.4500,-3,0.4357,0.1929,0.1000,0.0500
-3,00:30:00,481,0.5676,-6,0.3306,0.1372,0.0769,0.0333
-3,01:00:00,130,-3.0385,-7,0.3077,0.1385,0.0615,0.0077
-3,01:30:00,117,-4.7350,-8,0.3590,0.0855,0.0427,0.0171
-3,02:00:00,25,18.6400,-1,0.4800,0.2800,0.2000,0.2000
-3,02:30:00,39,-0.6923,-8,0.3333,0.1538,0.1282,0.0513
-3,03:00:00,19,10.9474,-3,0.4211,0.3684,0.2632,0.1579
-3,03:30:00,8,9.2500,-12,0.3750,0.3750,0.2500,0.1250
-3,04:00:00,35,-2.2857,-3,0.3714,0.0857,0.0571,0.0000
-3,04:30:00,25,-4.5600,-8,0.2800,0.1200,0.0800,0.0000
-3,05:00:00,1134,-2.6102,-7,0.2637,0.0802,0.0432,0.0212
-3,05:30:00,3537,-2.2607,-7,0.2598,0.0845,0.0413,0.0212
-3,06:00:00,15864,-1.8512,-7,0.2768,0.0854,0.0419,0.0219
-3,06:30:00,9983,-1.7541,-6,0.2869,0.0963,0.0456,0.0200
-3,07:00:00,14342,-1.0520,-7,0.2973,0.1019,0.0545,0.0271
-3,07:30:00,10738,-0.8018,-6,0.3195,0.1169,0.0600,0.0245
-3,08:00:00,13007,1.6074,-5,0.3377,0.1358,0.0780,0.0367
-3,08:30:00,13084,0.8325,-5,0.3290,0.1322,0.0705,0.0333
-3,09:00:00,10938,2.1522,-5,0.3420,0.1410,0.0798,0.0385
-3,09:30:00,11343,2.8952,-4,0.3617,0.1536,0.0845,0.0399
-3,10:00:00,13164,2.7862,-4,0.3670,0.1514,0.0866,0.0389
-3,10:30:00,10800,3.9131,-4,0.3846,0.1729,0.1003,0.0454
-3,11:00:00,12917,3.8808,-3,0.3906,0.1699,0.0965,0.0460
-3,11:30:00,11269,4.6806,-3,0.3931,0.1773,0.1040,0.0508
-3,12:00:00,11906,5.2639,-3,0.4072,0.1867,0.1099,0.0513
-3,12:30:00,11147,6.7959,-2,0.4265,0.2023,0.1168,0.0582
-3,13:00:00,12086,7.7260,-2,0.4453,0.2146,0.1314,0.0634
-3,13:30:00,11908,7.5296,-2,0.4345,0.2170,0.1280,0.0620
-3,14:00:00,10917,8.6227,-1,0.4552,0.2307,0.1383,0.0659
-3,14:30:00,11916,9.0502,-1,0.4677,0.2461,0.1489,0.0691
-3,15:00:00,12055,9.1116,-1,0.4648,0.2356,0.1406,0.0674
-3,15:30:00,10763,9.5829,-1,0.4646,0.2471,0.1495,0.0719
-3,16:00:00,11534,9.8127,0,0.4780,0.2557,0.1563,0.0722
-3,16:30:00,11426,10.1098,-1,0.4681,0.2535,0.1603,0.0747
-3,17:00:00,12890,11.4074,0,0.4797,0.2645,0.1721,0.0891
-3,17:30:00,13099,10.6192,-1,0.4701,0.2587,0.1621,0.0814
-3,18:00:00,10565,12.7568,1,0.5010,0.2839,0.1821,0.0922
-3,18:30:00,10751,13.5473,1,0.5075,0.2930,0.1911,0.0960
-3,19:00:00,10952,12.5072,0,0.4860,0.2803,0.1796,0.0913
-3,19:30:00,11209,11.4714,-1,0.4681,0.2680,0.1751,0.0864
-3,20:00:00,8056,12.8119,0,0.4984,0.2857,0.1909,0.0942
-3,20:30:00,7212,11.8957,0,0.4976,0.2830,0.1797,0.0872
-3,21:00:00,5913,14.0458,1,0.5205,0.2934,0.1953,0.0957
-3,21:30:00,5602,9.4863,-2,0.4525,0.2456,0.1592,0.0775
-3,22:00:00,3464,4.2942,-4,0.3808,0.1926,0.1186,0.0537
-3,22:30:00,2340,3.5419,-5,0.3615,0.1701,0.1038,0.0453
-3,23:00:00,937,3.1825,-5,0.3607,0.1718,0.1067,0.0608
-3,23:30:00,1149,3.4212,-3,0.3986,0.1758,0.1097,0.0487
