day_shift,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
-3,00:00:00,1565,2.9521,-3,0.4166,0.1770,0.0888,0.0358
-3,01:00:00,749,1.2230,-4,0.3765,0.1535,0.0854,0.0320
-3,02:00:00,170,0.5235,-5,0.4000,0.1941,0.1059,0.0294
-3,03:00:00,53,-0.4906,-5,0.3396,0.1887,0.0755,0.0566
-3,04:00:00,109,3.7156,-7,0.3028,0.1468,0.1101,0.0459
-3,05:00:00,10443,-0.5421,-5,0.3090,0.0883,0.0425,0.0219
-3,06:00:00,84701,-0.0557,-4,0.3293,0.1004,0.0467,0.0209
-3,07:00:00,82909,1.0531,-4,0.3592,0.1259,0.0628,0.0265
-3,08:00:00,83185,2.5936,-3,0.3863,0.1513,0.0770,0.0329
-3,09:00:00,75977,3.7372,-3,0.4077,0.1670,0.0882,0.0367
-3,10:00:00,75555,4.8025,-2,0.4230,0.1807,0.0992,0.0423
-3,11:00:00,78035,6.2404,-1,0.4454,0.1990,0.1110,0.0494
-3,12:00:00,74050,7.3385,-1,0.4600,0.2126,0.1208,0.0540
-3,13:00:00,77041,9.6780,0,0.4908,0.2397,0.1408,0.0666
-3,14:00:00,72935,11.2967,1,0.5105,0.2634,0.1594,0.0745
-3,15:00:00,73816,12.7737,2,0.5253,0.2814,0.1742,0.0811
-3,16:00:00,74595,13.8585,2,0.5352,0.2954,0.1854,0.0910
-3,17:00:00,81903,15.3596,3,0.5450,0.3143,0.2039,0.1027
-3,18:00:00,72293,16.4434,3,0.5560,0.3272,0.2158,0.1089
-3,19:00:00,70796,15.7017,3,0.5444,0.3201,0.2111,0.1062
-3,20:00:00,49872,16.4154,4,0.5592,0.3328,0.2204,0.1093
-3,21:00:00,38408,13.8495,3,0.5431,0.3080,0.1920,0.0910
-3,22:00:00,17548,8.5148,0,0.4726,0.2370,0.1412,0.0649
-3,23:00:00,6480,6.7216,-1,0.4519,0.2238,0.1284,0.0600
-2,00:00:00,1616,3.5266,-3,0.4245,0.1856,0.0978,0.0433
-2,01:00:00,748,1.1791,-4,0.3703,0.1578,0.0829,0.0321
-2,02:00:00,173,4.5029,-4,0.3988,0.2139,0.1214,0.0636
-2,03:00:00,57,5.0175,-5,0.3333,0.1754,0.1053,0.0702
-2,04:00:00,104,3.7788,-6,0.2885,0.1250,0.0769,0.0577
-2,05:00:00,8512,-0.4908,-5,0.3060,0.0925,0.0452,0.0234
-2,06:00:00,66143,-0.5049,-5,0.3115,0.1058,0.0514,0.0248
-2,07:00:00,69007,-0.5114,-5,0.3137,0.1122,0.0575,0.0258
-2,08:00:00,75490,0.8892,-5,0.3397,0.1313,0.0692,0.0309
-2,09:00:00,69150,1.8075,-4,0.3599,0.1447,0.0782,0.0339
-2,10:00:00,68634,2.6775,-4,0.3740,0.1576,0.0863,0.0377
-2,11:00:00,69294,2.9879,-4,0.3803,0.1599,0.0892,0.0394
-2,12:00:00,67714,3.6960,-3,0.3872,0.1711,0.0971,0.0437
-2,13:00:00,68025,4.3455,-4,0.3896,0.1806,0.1060,0.0480
-2,14:00:00,63336,4.5737,-4,0.3933,0.1884,0.1108,0.0501
-2,15:00:00,61248,4.1889,-4,0.3878,0.1893,0.1127,0.0521
-2,16:00:00,60683,3.8049,-4,0.3779,0.1864,0.1118,0.0516
-2,17:00:00,61490,3.7599,-5,0.3739,0.1914,0.1180,0.0550
-2,18:00:00,50910,3.6225,-5,0.3724,0.1916,0.1177,0.0552
-2,19:00:00,43827,3.2198,-5,0.3605,0.1865,0.1143,0.0535
-2,20:00:00,28264,2.3745,-5,0.3465,0.1721,0.1061,0.0514
