day_shift,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
-3,00:00:00,543,4.1529,-4,0.3941,0.1805,0.1160,0.0497
-3,01:00:00,223,-0.4664,-3,0.4126,0.1480,0.0673,0.0179
-3,02:00:00,68,11.7941,-1,0.4265,0.2059,0.1471,0.1029
-3,03:00:00,19,22.1579,17,0.5263,0.5263,0.4211,0.2105
-3,04:00:00,64,5.2188,0,0.5000,0.2500,0.1562,0.0469
-3,05:00:00,3603,-1.2426,-6,0.2953,0.1035,0.0483,0.0241
-3,06:00:00,23187,-0.4451,-6,0.3137,0.1131,0.0565,0.0275
-3,07:00:00,22767,0.8233,-5,0.3432,0.1373,0.0720,0.0326
-3,08:00:00,23572,2.8403,-4,0.3723,0.1659,0.0930,0.0426
-3,09:00:00,20889,3.7510,-4,0.3848,0.1771,0.0998,0.0440
-3,10:00:00,21516,5.1973,-3,0.4203,0.1942,0.1097,0.0481
-3,11:00:00,22488,6.7790,-2,0.4328,0.2145,0.1251,0.0573
-3,12:00:00,20987,8.2682,-1,0.4545,0.2303,0.1370,0.0660
-3,13:00:00,22167,10.2060,-1,0.4706,0.2501,0.1540,0.0747
-3,14:00:00,20977,11.6521,0,0.4872,0.2706,0.1695,0.0822
-3,15:00:00,20512,11.9897,0,0.4923,0.2756,0.1749,0.0844
-3,16:00:00,21494,12.8150,1,0.5021,0.2862,0.1835,0.0911
-3,17:00:00,23131,13.9495,1,0.5065,0.2992,0.1990,0.1018
-3,18:00:00,19528,15.4024,2,0.5269,0.3201,0.2133,0.1107
-3,19:00:00,20154,14.7072,1,0.5081,0.3096,0.2125,0.1097
-3,20:00:00,13058,15.6879,2,0.5209,0.3272,0.2266,0.1170
-3,21:00:00,9673,13.8620,1,0.5120,0.2987,0.2030,0.1056
-3,22:00:00,4896,6.4154,-3,0.4201,0.2212,0.1407,0.0635
-3,23:00:00,1696,6.0041,-3,0.4251,0.2205,0.1409,0.0713
-2,00:00:00,522,4.4253,-3,0.4004,0.1801,0.0958,0.0479
-2,01:00:00,223,4.5650,-4,0.4126,0.1839,0.1166,0.0538
-2,02:00:00,69,7.7681,1,0.5072,0.2174,0.1449,0.0725
-2,03:00:00,18,39.5556,4,0.6111,0.3333,0.2222,0.1667
-2,04:00:00,61,8.0000,-5,0.4098,0.2295,0.1475,0.0820
-2,05:00:00,3814,-0.2181,-6,0.2981,0.1044,0.0551,0.0281
-2,06:00:00,24295,-0.8516,-6,0.3103,0.1031,0.0484,0.0225
-2,07:00:00,23656,-0.3686,-5,0.3268,0.1216,0.0632,0.0276
-2,08:00:00,23935,1.6089,-4,0.3641,0.1486,0.0793,0.0330
-2,09:00:00,21206,2.4303,-4,0.3753,0.1612,0.0850,0.0352
-2,10:00:00,21845,3.8349,-3,0.4016,0.1801,0.0988,0.0410
-2,11:00:00,22836,5.3754,-2,0.4316,0.1991,0.1090,0.0464
-2,12:00:00,21333,6.2657,-2,0.4323,0.2057,0.1183,0.0492
-2,13:00:00,22709,7.8575,-1,0.4573,0.2285,0.1330,0.0598
-2,14:00:00,21299,8.9103,-1,0.4664,0.2439,0.1476,0.0649
-2,15:00:00,21123,10.4898,0,0.4866,0.2627,0.1569,0.0729
-2,16:00:00,21791,11.6523,0,0.4966,0.2769,0.1720,0.0838
-2,17:00:00,23848,11.9752,0,0.4933,0.2854,0.1810,0.0867
-2,18:00:00,20132,14.0278,2,0.5205,0.3084,0.2009,0.0992
-2,19:00:00,20888,13.3452,1,0.5018,0.3057,0.2010,0.0976
-2,20:00:00,13716,14.1700,1,0.5152,0.3177,0.2114,0.1035
-2,21:00:00,10304,12.6949,1,0.5142,0.3053,0.1933,0.0888
-2,22:00:00,5190,5.6482,-2,0.4434,0.2274,0.1295,0.0501
-2,23:00:00,1731,6.3813,-2,0.4391,0.2311,0.1375,0.0583
-1,00:00:00,601,4.6040,-2,0.4210,0.1764,0.1082,0.0483
-1,01:00:00,241,0.2158,-5,0.3485,0.1784,0.0747,0.0290
-1,02:00:00,68,16.6176,-2,0.4412,0.2353,0.1176,0.1029
-1,03:00:00,19,10.7895,-5,0.4737,0.3158,0.2632,0.1053
-1,04:00:00,67,5.1194,-5,0.3881,0.2239,0.1194,0.0597
-1,05:00:00,3872,1.6764,-6,0.3097,0.1028,0.0553,0.0310
-1,06:00:00,23646,-0.1031,-6,0.3130,0.1137,0.0581,0.0281
-1,07:00:00,22940,1.0836,-5,0.3336,0.1353,0.0709,0.0348
-1,08:00:00,23658,2.2827,-4,0.3619,0.1516,0.0835,0.0380
-1,09:00:00,21030,2.7368,-4,0.3649,0.1598,0.0887,0.0418
-1,10:00:00,21763,4.0300,-4,0.3876,0.1792,0.1005,0.0466
-1,11:00:00,22660,5.6580,-3,0.4094,0.1932,0.1110,0.0522
-1,12:00:00,21147,6.5592,-3,0.4176,0.2061,0.1203,0.0599
-1,13:00:00,22266,7.8987,-2,0.4395,0.2179,0.1312,0.0652
-1,14:00:00,20800,8.9168,-2,0.4474,0.2358,0.1476,0.0730
-1,15:00:00,20153,9.8046,-1,0.4643,0.2463,0.1534,0.0785
-1,16:00:00,20632,10.0721,-1,0.4591,0.2525,0.1618,0.0832
-1,17:00:00,21934,10.5006,-1,0.4605,0.2591,0.1687,0.0896
-1,18:00:00,18250,10.5368,-1,0.4689,0.2669,0.1742,0.0898
-1,19:00:00,18282,10.6130,-1,0.4597,0.2644,0.1750,0.0911
-1,20:00:00,11780,9.9619,-1,0.4603,0.2617,0.1688,0.0874
-1,21:00:00,8937,8.4909,-2,0.4451,0.2405,0.1534,0.0772
-1,22:00:00,4637,3.3994,-4,0.3858,0.1812,0.1124,0.0537
-1,23:00:00,1575,0.8184,-5,0.3765,0.1771,0.1003,0.0470
0,00:00:00,518,-0.4981,-6,0.3610,0.1332,0.0714,0.0232
0,01:00:00,205,-2.3220,-9,0.3220,0.1366,0.0634,0.0293
0,02:00:00,65,0.1692,-2,0.4154,0.2308,0.1077,0.0154
0,03:00:00,18,0.6111,-6,0.4444,0.2778,0.1667,0.0556
0,04:00:00,66,6.2879,-6,0.3788,0.2121,0.1364,0.0909
0,05:00:00,3142,-2.7603,-7,0.2702,0.0827,0.0407,0.0204
0,06:00:00,20141,-2.5567,-7,0.2689,0.0917,0.0480,0.0240
0,07:00:00,20279,-2.7666,-7,0.2782,0.1015,0.0523,0.0243
0,08:00:00,21770,-1.8941,-7,0.2925,0.1133,0.0599,0.0269
0,09:00:00,19706,-1.2844,-7,0.2984,0.1236,0.0685,0.0290
0,10:00:00,20626,-0.4272,-6,0.3126,0.1312,0.0731,0.0331
0,11:00:00,21545,0.2968,-6,0.3243,0.1383,0.0782,0.0356
0,12:00:00,19760,0.5413,-6,0.3254,0.1481,0.0847,0.0383
0,13:00:00,20026,1.8571,-6,0.3434,0.1641,0.0957,0.0432
0,14:00:00,18463,3.0003,-5,0.3586,0.1745,0.1024,0.0478
0,15:00:00,17184,2.8904,-5,0.3564,0.1774,0.1063,0.0517
0,16:00:00,16733,4.0296,-5,0.3720,0.1920,0.1149,0.0565
