day_shift,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
-3,00:00:00,223,5.9372,0,0.4843,0.2197,0.0852,0.0359
-3,01:00:00,84,1.9762,-2,0.3690,0.1429,0.0595,0.0119
-3,02:00:00,23,2.0435,-5,0.3043,0.0870,0.0435,0.0435
-3,03:00:00,6,-1.6667,-18,0.5000,0.1667,0.1667,0.0000
-3,04:00:00,31,-6.4516,-9,0.2581,0.0645,0.0323,0.0000
-3,05:00:00,1591,-2.0446,-6,0.2740,0.0855,0.0434,0.0264
-3,06:00:00,12846,-1.4187,-6,0.3036,0.0997,0.0493,0.0234
-3,07:00:00,12369,0.3003,-5,0.3376,0.1326,0.0705,0.0311
-3,08:00:00,12322,2.0528,-4,0.3669,0.1591,0.0938,0.0407
-3,09:00:00,11405,3.8448,-4,0.3868,0.1834,0.1107,0.0493
-3,10:00:00,10946,5.0520,-3,0.4150,0.1977,0.1178,0.0523
-3,11:00:00,11641,5.5175,-3,0.4137,0.2044,0.1190,0.0527
-3,12:00:00,10961,6.2700,-2,0.4328,0.2076,0.1244,0.0598
-3,13:00:00,11876,7.5930,-1,0.4466,0.2238,0.1315,0.0630
-3,14:00:00,11070,8.5575,-1,0.4545,0.2339,0.1481,0.0714
-3,15:00:00,11109,9.6096,-1,0.4655,0.2397,0.1485,0.0729
-3,16:00:00,11567,9.6551,-1,0.4655,0.2480,0.1555,0.0773
-3,17:00:00,12302,10.5493,-1,0.4688,0.2559,0.1680,0.0847
-3,18:00:00,10711,10.9307,0,0.4759,0.2662,0.1687,0.0874
-3,19:00:00,10598,10.7032,-1,0.4656,0.2604,0.1690,0.0878
-3,20:00:00,7231,10.8141,-1,0.4634,0.2623,0.1736,0.0914
-3,21:00:00,5379,10.0870,-1,0.4664,0.2493,0.1563,0.0798
-3,22:00:00,2317,7.9504,-3,0.4156,0.2102,0.1252,0.0742
-3,23:00:00,909,5.1287,-2,0.4433,0.2057,0.1100,0.0462
-2,00:00:00,214,6.7664,-2,0.4159,0.2056,0.1121,0.0374
-2,01:00:00,84,8.1667,0,0.4881,0.1548,0.1190,0.0595
-2,02:00:00,22,5.1818,-1,0.4091,0.2727,0.0909,0.0455
-2,03:00:00,6,-0.8333,-3,0.5000,0.0000,0.0000,0.0000
-2,04:00:00,32,-1.0625,-7,0.3125,0.1250,0.0938,0.0312
-2,05:00:00,1689,-2.1652,-5,0.3085,0.0918,0.0349,0.0142
-2,06:00:00,13193,-1.5761,-5,0.3132,0.0923,0.0412,0.0156
-2,07:00:00,12626,-0.7938,-5,0.3403,0.1155,0.0550,0.0203
-2,08:00:00,12621,0.8403,-4,0.3703,0.1330,0.0654,0.0270
-2,09:00:00,11701,2.5049,-3,0.3960,0.1596,0.0839,0.0327
-2,10:00:00,11364,3.9321,-3,0.4082,0.1711,0.0883,0.0383
-2,11:00:00,12026,4.9735,-2,0.4259,0.1845,0.1019,0.0442
-2,12:00:00,11272,6.4910,-1,0.4552,0.2061,0.1149,0.0517
-2,13:00:00,12247,8.2873,0,0.4733,0.2244,0.1308,0.0630
-2,14:00:00,11375,9.5099,0,0.4847,0.2396,0.1456,0.0709
-2,15:00:00,11423,11.1771,1,0.5078,0.2656,0.1639,0.0755
-2,16:00:00,11750,12.1180,2,0.5231,0.2809,0.1728,0.0819
-2,17:00:00,12797,14.1484,2,0.5323,0.3044,0.1937,0.0973
-2,18:00:00,11116,14.9185,2,0.5388,0.3131,0.2057,0.1010
-2,19:00:00,11045,14.6961,3,0.5396,0.3191,0.2044,0.1012
-2,20:00:00,7640,15.1694,3,0.5470,0.3245,0.2141,0.1027
-2,21:00:00,5989,12.4540,2,0.5318,0.2920,0.1835,0.0848
-2,22:00:00,2679,9.0985,0,0.4938,0.2676,0.1642,0.0683
-2,23:00:00,967,3.4695,-1,0.4612,0.2110,0.1034,0.0331
