day_shift,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
-4,00:00:00,239,4.5690,-2,0.4351,0.1715,0.1172,0.0460
-4,01:00:00,120,-2.4500,-4,0.3250,0.0833,0.0417,0.0083
-4,02:00:00,23,-2.6957,0,0.4348,0.0870,0.0435,0.0000
-4,03:00:00,12,-3.5833,-5,0.4167,0.1667,0.0000,0.0000
-4,04:00:00,6,-8.8333,-9,0.1667,0.0000,0.0000,0.0000
-4,05:00:00,1597,-1.8622,-5,0.2686,0.0607,0.0301,0.0163
-4,06:00:00,13692,-0.6832,-5,0.3013,0.0861,0.0404,0.0190
-4,07:00:00,13261,0.2488,-4,0.3519,0.1082,0.0518,0.0207
-4,08:00:00,13218,2.1942,-3,0.3810,0.1382,0.0691,0.0283
-4,09:00:00,12023,2.8584,-2,0.4002,0.1437,0.0713,0.0295
-4,10:00:00,12118,4.8214,-2,0.4357,0.1768,0.0932,0.0391
-4,11:00:00,12257,7.0323,-1,0.4598,0.1943,0.1066,0.0490
-4,12:00:00,11784,8.3821,0,0.4695,0.2178,0.1260,0.0552
-4,13:00:00,12106,12.5431,1,0.5103,0.2551,0.1504,0.0771
-4,14:00:00,11348,14.7251,2,0.5399,0.2828,0.1732,0.0895
-4,15:00:00,11519,17.5648,4,0.5687,0.3118,0.1965,0.1016
-4,16:00:00,11555,20.4361,5,0.5863,0.3349,0.2211,0.1199
-4,17:00:00,12595,24.3687,6,0.6049,0.3755,0.2519,0.1432
-4,18:00:00,11264,27.1121,8,0.6317,0.4073,0.2829,0.1649
-4,19:00:00,11024,27.4119,8,0.6316,0.4073,0.2859,0.1657
-4,20:00:00,7991,27.4675,9,0.6400,0.4205,0.2936,0.1722
-4,21:00:00,6278,23.3979,7,0.6222,0.3899,0.2628,0.1421
-4,22:00:00,2761,16.9279,3,0.5636,0.3042,0.2003,0.1054
-4,23:00:00,1035,13.8425,2,0.5304,0.3005,0.1836,0.0860
-3,00:00:00,249,5.1325,-1,0.4378,0.2008,0.0964,0.0643
-3,01:00:00,127,-0.6772,-4,0.3543,0.1024,0.0866,0.0315
-3,02:00:00,25,0.8000,-2,0.4000,0.1200,0.0800,0.0400
-3,03:00:00,16,-8.3750,-11,0.1875,0.0625,0.0000,0.0000
-3,04:00:00,8,9.6250,-1,0.5000,0.2500,0.2500,0.1250
-3,05:00:00,1588,-0.5151,-5,0.2947,0.0712,0.0378,0.0214
