day_shift,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
-3,00:00:00,520,0.5346,-5,0.3500,0.1462,0.0673,0.0346
-3,01:00:00,242,-5.1612,-8,0.2769,0.0992,0.0702,0.0207
-3,02:00:00,49,-5.9796,-8,0.2857,0.1633,0.0816,0.0204
-3,03:00:00,24,2.2500,-3,0.4583,0.2500,0.0833,0.0417
-3,04:00:00,50,-3.3800,-8,0.2800,0.1000,0.1000,0.0200
-3,05:00:00,4148,-3.2445,-7,0.2512,0.0692,0.0338,0.0176
-3,06:00:00,26687,-2.5048,-7,0.2681,0.0782,0.0377,0.0191
-3,07:00:00,24838,-1.6817,-6,0.2971,0.0980,0.0523,0.0238
-3,08:00:00,25192,-0.3702,-6,0.3152,0.1163,0.0611,0.0294
-3,09:00:00,21717,0.8422,-5,0.3292,0.1252,0.0686,0.0332
-3,10:00:00,23317,1.5684,-5,0.3476,0.1383,0.0776,0.0371
-3,11:00:00,23521,2.2110,-4,0.3663,0.1475,0.0821,0.0390
-3,12:00:00,22229,3.4024,-4,0.3818,0.1605,0.0888,0.0422
-3,13:00:00,23271,5.1143,-3,0.4130,0.1843,0.1042,0.0503
-3,14:00:00,22095,6.1561,-2,0.4273,0.2005,0.1169,0.0558
-3,15:00:00,22105,6.9724,-2,0.4380,0.2105,0.1225,0.0569
-3,16:00:00,22391,7.4513,-2,0.4415,0.2207,0.1326,0.0636
-3,17:00:00,25212,8.3699,-2,0.4480,0.2305,0.1418,0.0703
-3,18:00:00,21281,10.1304,-1,0.4712,0.2501,0.1566,0.0775
-3,19:00:00,22218,9.1709,-2,0.4448,0.2405,0.1515,0.0760
-3,20:00:00,15171,9.9653,-1,0.4677,0.2534,0.1618,0.0800
-3,21:00:00,11547,8.5153,-1,0.4546,0.2363,0.1439,0.0688
-3,22:00:00,5965,2.3980,-5,0.3599,0.1611,0.0937,0.0412
-3,23:00:00,1954,0.9990,-5,0.3567,0.1505,0.0834,0.0409
-2,00:00:00,492,-1.5894,-6,0.3191,0.1382,0.0650,0.0244
