Weekday,Date,Year,Name,Holiday type,Full_Date
Thu,1-Jan,1987,New Year's Day,National holiday,1987-01-01
Fri,1-Jan,1988,New Year's Day,National holiday,1988-01-01
Mon,2-Jan,1989,New Year's Day observed,National holiday,1989-01-02
Mon,1-Jan,1990,New Year's Day,National holiday,1990-01-01
Tue,1-Jan,1991,New Year's Day,National holiday,1991-01-01
Wed,1-Jan,1992,New Year's Day,National holiday,1992-01-01
Fri,1-Jan,1993,New Year's Day,National holiday,1993-01-01
Fri,31-Dec,1993,New Year's Day observed,National holiday,1993-12-31
Mon,2-Jan,1995,New Year's Day observed,National holiday,1995-01-02
Mon,1-Jan,1996,New Year's Day,National holiday,1996-01-01
Wed,1-Jan,1997,New Year's Day,National holiday,1997-01-01
Thu,1-Jan,1998,New Year's Day,National holiday,1998-01-01
Fri,1-Jan,1999,New Year's Day,National holiday,1999-01-01
Fri,31-Dec,1999,New Year's Day observed,National holiday,1999-12-31
Mon,1-Jan,2001,New Year's Day,National holiday,2001-01-01
Tue,1-Jan,2002,New Year's Day,National holiday,2002-01-01
Wed,1-Jan,2003,New Year's Day,National holiday,2003-01-01
Thu,1-Jan,2004,New Year's Day,National holiday,2004-01-01
Fri,31-Dec,2004,New Year's Day observed,National holiday,2004-12-31
Mon,2-Jan,2006,New Year's Day observed,National holiday,2006-01-02
Mon,1-Jan,2007,New Year's Day,National holiday,2007-01-01
Tue,1-Jan,2008,New Year's Day,National holiday,2008-01-01
Thu,1-Jan,2009,New Year's Day,National holiday,2009-01-01
Fri,1-Jan,2010,New Year's Day,National holiday,2010-01-01
Fri,31-Dec,2010,New Year's Day observed,National holiday,2010-12-31
Mon,2-Jan,2012,New Year's Day observed,National holiday,2012-01-02
Tue,1-Jan,2013,New Year's Day,National holiday,2013-01-01
Wed,1-Jan,2014,New Year's Day,National holiday,2014-01-01
Mon,19-Jan,1987,Martin Luther King Day,National holiday,1987-01-19
Mon,18-Jan,1988,Martin Luther King Day,National holiday,1988-01-18
Mon,16-Jan,1989,Martin Luther King Day,National holiday,1989-01-16
Mon,15-Jan,1990,Martin Luther King Day,National holiday,1990-01-15
Mon,21-Jan,1991,Martin Luther King Day,National holiday,1991-01-21
Mon,20-Jan,1992,Martin Luther King Day,National holiday,1992-01-20
Mon,18-Jan,1993,Martin Luther King Day,National holiday,1993-01-18
Mon,17-Jan,1994,Martin Luther King Day,National holiday,1994-01-17
Mon,16-Jan,1995,Martin Luther King Day,National holiday,1995-01-16
Mon,15-Jan,1996,Martin Luther King Day,National holiday,1996-01-15
Mon,20-Jan,1997,Martin Luther King Day,National holiday,1997-01-20
Mon,19-Jan,1998,Martin Luther King Day,National holiday,1998-01-19
Mon,18-Jan,1999,Martin Luther King Day,National holiday,1999-01-18
Mon,17-Jan,2000,Martin Luther King Day,National holiday,2000-01-17
Mon,15-Jan,2001,Martin Luther King Day,National holiday,2001-01-15
Mon,21-Jan,2002,Martin Luther King Day,National holiday,2002-01-21
Mon,20-Jan,2003,Martin Luther King Day,National holiday,2003-01-20
Mon,19-Jan,2004,Martin Luther King Day,National holiday,2004-01-19
Mon,17-Jan,2005,Martin Luther King Day,National holiday,2005-01-17
Mon,16-Jan,2006,Martin Luther King Day,National holiday,2006-01-16
Mon,15-Jan,2007,Martin Luther King Day,National holiday,2007-01-15
Mon,21-Jan,2008,Martin Luther King Day,National holiday,2008-01-21
Mon,19-Jan,2009,Martin Luther King Day,National holiday,2009-01-19
Mon,18-Jan,2010,Martin Luther King Day,National holiday,2010-01-18
Mon,17-Jan,2011,Martin Luther King Day,National holiday,2011-01-17
Mon,16-Jan,2012,Martin Luther King Day,National holiday,2012-01-16
Mon,21-Jan,2013,Martin Luther King Day,National holiday,2013-01-21
Mon,20-Jan,2014,Martin Luther King Day,National holiday,2014-01-20
Mon,16-Feb,1987,Presidents' Day (Washington's Birthday),National holiday,1987-02-16
Mon,15-Feb,1988,Presidents' Day (Washington's Birthday),National holiday,1988-02-15
Mon,20-Feb,1989,Presidents' Day (Washington's Birthday),National holiday,1989-02-20
Mon,19-Feb,1990,Presidents' Day (Washington's Birthday),National holiday,1990-02-19
Mon,18-Feb,1991,Presidents' Day (Washington's Birthday),National holiday,1991-02-18
Mon,17-Feb,1992,Presidents' Day (Washington's Birthday),National holiday,1992-02-17
Mon,15-Feb,1993,Presidents' Day (Washington's Birthday),National holiday,1993-02-15
Mon,21-Feb,1994,Presidents' Day (Washington's Birthday),National holiday,1994-02-21
Mon,20-Feb,1995,Presidents' Day (Washington's Birthday),National holiday,1995-02-20
Mon,19-Feb,1996,Presidents' Day (Washington's Birthday),National holiday,1996-02-19
Mon,17-Feb,1997,Presidents' Day (Washington's Birthday),National holiday,1997-02-17
Mon,16-Feb,1998,Presidents' Day (Washington's Birthday),National holiday,1998-02-16
Mon,15-Feb,1999,Presidents' Day (Washington's Birthday),National holiday,1999-02-15
Mon,21-Feb,2000,Presidents' Day (Washington's Birthday),National holiday,2000-02-21
Mon,19-Feb,2001,Presidents' Day (Washington's Birthday),National holiday,2001-02-19
Mon,18-Feb,2002,Presidents' Day (Washington's Birthday),National holiday,2002-02-18
Mon,17-Feb,2003,Presidents' Day (Washington's Birthday),National holiday,2003-02-17
Mon,16-Feb,2004,Presidents' Day (Washington's Birthday),National holiday,2004-02-16
Mon,21-Feb,2005,Presidents' Day (Washington's Birthday),National holiday,2005-02-21
Mon,20-Feb,2006,Presidents' Day (Washington's Birthday),National holiday,2006-02-20
Mon,19-Feb,2007,Presidents' Day (Washington's Birthday),National holiday,2007-02-19
Mon,18-Feb,2008,Presidents' Day (Washington's Birthday),National holiday,2008-02-18
Mon,16-Feb,2009,Presidents' Day (Washington's Birthday),National holiday,2009-02-16
Mon,15-Feb,2010,Presidents' Day (Washington's Birthday),National holiday,2010-02-15
Mon,21-Feb,2011,Presidents' Day (Washington's Birthday),National holiday,2011-02-21
Mon,20-Feb,2012,Presidents' Day (Washington's Birthday),National holiday,2012-02-20
Mon,18-Feb,2013,Presidents' Day (Washington's Birthday),National holiday,2013-02-18
Mon,17-Feb,2014,Presidents' Day (Washington's Birthday),National holiday,2014-02-17
Mon,25-May,1987,Memorial Day,National holiday,1987-05-25
Mon,30-May,1988,Memorial Day,National holiday,1988-05-30
Mon,29-May,1989,Memorial Day,National holiday,1989-05-29
Mon,28-May,1990,Memorial Day,National holiday,1990-05-28
Mon,27-May,1991,Memorial Day,National holiday,1991-05-27
Mon,25-May,1992,Memorial Day,National holiday,1992-05-25
Mon,31-May,1993,Memorial Day,National holiday,1993-05-31
Mon,30-May,1994,Memorial Day,National holiday,1994-05-30
Mon,29-May,1995,Memorial Day,National holiday,1995-05-29
Mon,27-May,1996,Memorial Day,National holiday,1996-05-27
Mon,26-May,1997,Memorial Day,National holiday,1997-05-26
Mon,25-May,1998,Memorial Day,National holiday,1998-05-25
Mon,31-May,1999,Memorial Day,National holiday,1999-05-31
Mon,29-May,2000,Memorial Day,National holiday,2000-05-29
Mon,28-May,2001,Memorial Day,National holiday,2001-05-28
Mon,27-May,2002,Memorial Day,National holiday,2002-05-27
Mon,26-May,2003,Memorial Day,National holiday,2003-05-26
Mon,31-May,2004,Memorial Day,National holiday,2004-05-31
Mon,30-May,2005,Memorial Day,National holiday,2005-05-30
Mon,29-May,2006,Memorial Day,National holiday,2006-05-29
Mon,28-May,2007,Memorial Day,National holiday,2007-05-28
Mon,26-May,2008,Memorial Day,National holiday,2008-05-26
Mon,25-May,2009,Memorial Day,National holiday,2009-05-25
Mon,31-May,2010,Memorial Day,National holiday,2010-05-31
Mon,30-May,2011,Memorial Day,National holiday,2011-05-30
Mon,28-May,2012,Memorial Day,National holiday,2012-05-28
Mon,27-May,2013,Memorial Day,National holiday,2013-05-27
Mon,26-May,2014,Memorial Day,National holiday,2014-05-26
Fri,3-Jul,1987,Independence Day observed,National holiday,1987-07-03
Mon,4-Jul,1988,Independence Day,National holiday,1988-07-04
Tue,4-Jul,1989,Independence Day,National holiday,1989-07-04
Wed,4-Jul,1990,Independence Day,National holiday,1990-07-04
Thu,4-Jul,1991,Independence Day,National holiday,1991-07-04
Fri,3-Jul,1992,Independence Day observed,National holiday,1992-07-03
Mon,5-Jul,1993,Independence Day observed,National holiday,1993-07-05
Mon,4-Jul,1994,Independence Day,National holiday,1994-07-04
Tue,4-Jul,1995,Independence Day,National holiday,1995-07-04
Thu,4-Jul,1996,Independence Day,National holiday,1996-07-04
Fri,4-Jul,1997,Independence Day,National holiday,1997-07-04
Fri,3-Jul,1998,Independence Day observed,National holiday,1998-07-03
Mon,5-Jul,1999,Independence Day observed,National holiday,1999-07-05
Tue,4-Jul,2000,Independence Day,National holiday,2000-07-04
Wed,4-Jul,2001,Independence Day,National holiday,2001-07-04
Thu,4-Jul,2002,Independence Day,National holiday,2002-07-04
Fri,4-Jul,2003,Independence Day,National holiday,2003-07-04
Mon,5-Jul,2004,Independence Day observed,National holiday,2004-07-05
Mon,4-Jul,2005,Independence Day,National holiday,2005-07-04
Tue,4-Jul,2006,Independence Day,National holiday,2006-07-04
Wed,4-Jul,2007,Independence Day,National holiday,2007-07-04
Fri,4-Jul,2008,Independence Day,National holiday,2008-07-04
Fri,3-Jul,2009,Independence Day observed,National holiday,2009-07-03
Mon,5-Jul,2010,Independence Day observed,National holiday,2010-07-05
Mon,4-Jul,2011,Independence Day,National holiday,2011-07-04
Wed,4-Jul,2012,Independence Day,National holiday,2012-07-04
Thu,4-Jul,2013,Independence Day,National holiday,2013-07-04
Fri,4-Jul,2014,Independence Day,National holiday,2014-07-04
Mon,7-Sep,1987,Labor Day,National holiday,1987-09-07
Mon,5-Sep,1988,Labor Day,National holiday,1988-09-05
Mon,4-Sep,1989,Labor Day,National holiday,1989-09-04
Mon,3-Sep,1990,Labor Day,National holiday,1990-09-03
Mon,2-Sep,1991,Labor Day,National holiday,1991-09-02
Mon,7-Sep,1992,Labor Day,National holiday,1992-09-07
Mon,6-Sep,1993,Labor Day,National holiday,1993-09-06
Mon,5-Sep,1994,Labor Day,National holiday,1994-09-05
Mon,4-Sep,1995,Labor Day,National holiday,1995-09-04
Mon,2-Sep,1996,Labor Day,National holiday,1996-09-02
Mon,1-Sep,1997,Labor Day,National holiday,1997-09-01
Mon,7-Sep,1998,Labor Day,National holiday,1998-09-07
Mon,6-Sep,1999,Labor Day,National holiday,1999-09-06
Mon,4-Sep,2000,Labor Day,National holiday,2000-09-04
Mon,3-Sep,2001,Labor Day,National holiday,2001-09-03
Mon,2-Sep,2002,Labor Day,National holiday,2002-09-02
Mon,1-Sep,2003,Labor Day,National holiday,2003-09-01
Mon,6-Sep,2004,Labor Day,National holiday,2004-09-06
Mon,5-Sep,2005,Labor Day,National holiday,2005-09-05
Mon,4-Sep,2006,Labor Day,National holiday,2006-09-04
Mon,3-Sep,2007,Labor Day,National holiday,2007-09-03
Mon,1-Sep,2008,Labor Day,National holiday,2008-09-01
Mon,7-Sep,2009,Labor Day,National holiday,2009-09-07
Mon,6-Sep,2010,Labor Day,National holiday,2010-09-06
Mon,5-Sep,2011,Labor Day,National holiday,2011-09-05
Mon,3-Sep,2012,Labor Day,National holiday,2012-09-03
Mon,2-Sep,2013,Labor Day,National holiday,2013-09-02
Mon,1-Sep,2014,Labor Day,National holiday,2014-09-01
Mon,12-Oct,1987,Columbus Day,National holiday,1987-10-12
Mon,10-Oct,1988,Columbus Day,National holiday,1988-10-10
Mon,9-Oct,1989,Columbus Day,National holiday,1989-10-09
Mon,8-Oct,1990,Columbus Day,National holiday,1990-10-08
Mon,14-Oct,1991,Columbus Day,National holiday,1991-10-14
Mon,12-Oct,1992,Columbus Day,National holiday,1992-10-12
Mon,11-Oct,1993,Columbus Day,National holiday,1993-10-11
Mon,10-Oct,1994,Columbus Day,National holiday,1994-10-10
Mon,9-Oct,1995,Columbus Day,National holiday,1995-10-09
Mon,14-Oct,1996,Columbus Day,National holiday,1996-10-14
Mon,13-Oct,1997,Columbus Day,National holiday,1997-10-13
Mon,12-Oct,1998,Columbus Day,National holiday,1998-10-12
Mon,11-Oct,1999,Columbus Day,National holiday,1999-10-11
Mon,9-Oct,2000,Columbus Day,National holiday,2000-10-09
Mon,8-Oct,2001,Columbus Day,National holiday,2001-10-08
Mon,14-Oct,2002,Columbus Day,National holiday,2002-10-14
Mon,13-Oct,2003,Columbus Day,National holiday,2003-10-13
Mon,11-Oct,2004,Columbus Day,National holiday,2004-10-11
Mon,10-Oct,2005,Columbus Day,National holiday,2005-10-10
Mon,9-Oct,2006,Columbus Day,National holiday,2006-10-09
Mon,8-Oct,2007,Columbus Day,National holiday,2007-10-08
Mon,13-Oct,2008,Columbus Day,National holiday,2008-10-13
Mon,12-Oct,2009,Columbus Day,National holiday,2009-10-12
Mon,11-Oct,2010,Columbus Day,National holiday,2010-10-11
Mon,10-Oct,2011,Columbus Day,National holiday,2011-10-10
Mon,8-Oct,2012,Columbus Day,National holiday,2012-10-08
Mon,14-Oct,2013,Columbus Day,National holiday,2013-10-14
Mon,13-Oct,2014,Columbus Day,National holiday,2014-10-13
Wed,11-Nov,1987,Veterans Day,National holiday,1987-11-11
Fri,11-Nov,1988,Veterans Day,National holiday,1988-11-11
Fri,10-Nov,1989,Veterans Day observed,National holiday,1989-11-10
Mon,12-Nov,1990,Veterans Day observed,National holiday,1990-11-12
Mon,11-Nov,1991,Veterans Day,National holiday,1991-11-11
Wed,11-Nov,1992,Veterans Day,National holiday,1992-11-11
Thu,11-Nov,1993,Veterans Day,National holiday,1993-11-11
Fri,11-Nov,1994,Veterans Day,National holiday,1994-11-11
Fri,10-Nov,1995,Veterans Day observed,National holiday,1995-11-10
Mon,11-Nov,1996,Veterans Day,National holiday,1996-11-11
Tue,11-Nov,1997,Veterans Day,National holiday,1997-11-11
Wed,11-Nov,1998,Veterans Day,National holiday,1998-11-11
Thu,11-Nov,1999,Veterans Day,National holiday,1999-11-11
Fri,10-Nov,2000,Veterans Day observed,National holiday,2000-11-10
Mon,12-Nov,2001,Veterans Day observed,National holiday,2001-11-12
Mon,11-Nov,2002,Veterans Day,National holiday,2002-11-11
Tue,11-Nov,2003,Veterans Day,National holiday,2003-11-11
Thu,11-Nov,2004,Veterans Day,National holiday,2004-11-11
Fri,11-Nov,2005,Veterans Day,National holiday,2005-11-11
Fri,10-Nov,2006,Veterans Day observed,National holiday,2006-11-10
Mon,12-Nov,2007,Veterans Day observed,National holiday,2007-11-12
Tue,11-Nov,2008,Veterans Day,National holiday,2008-11-11
Wed,11-Nov,2009,Veterans Day,National holiday,2009-11-11
Thu,11-Nov,2010,Veterans Day,National holiday,2010-11-11
Fri,11-Nov,2011,Veterans Day,National holiday,2011-11-11
Mon,12-Nov,2012,Veterans Day observed,National holiday,2012-11-12
Mon,11-Nov,2013,Veterans Day,National holiday,2013-11-11
Tue,11-Nov,2014,Veterans Day,National holiday,2014-11-11
Thu,26-Nov,1987,Thanksgiving Day,National holiday,1987-11-26
Thu,24-Nov,1988,Thanksgiving Day,National holiday,1988-11-24
Thu,23-Nov,1989,Thanksgiving Day,National holiday,1989-11-23
Thu,22-Nov,1990,Thanksgiving Day,National holiday,1990-11-22
Thu,28-Nov,1991,Thanksgiving Day,National holiday,1991-11-28
Thu,26-Nov,1992,Thanksgiving Day,National holiday,1992-11-26
Thu,25-Nov,1993,Thanksgiving Day,National holiday,1993-11-25
Thu,24-Nov,1994,Thanksgiving Day,National holiday,1994-11-24
Thu,23-Nov,1995,Thanksgiving Day,National holiday,1995-11-23
Thu,28-Nov,1996,Thanksgiving Day,National holiday,1996-11-28
Thu,27-Nov,1997,Thanksgiving Day,National holiday,1997-11-27
Thu,26-Nov,1998,Thanksgiving Day,National holiday,1998-11-26
