year,dest,origin,count,avg_arr_delay,arr_wheels_up
2010,ATL,BOS,5394,1.281100,136.051200
2010,ATL,BWI,5958,4.043000,87.224200
2010,ATL,CLT,6873,5.251300,43.540800
2010,ATL,DEN,5463,7.959500,145.290100
2010,ATL,DFW,9464,5.751200,98.846900
2010,ATL,DTW,5180,6.079000,92.221200
2010,ATL,EWR,5738,6.932200,110.707400
2010,ATL,IAH,5090,9.801400,95.119400
2010,ATL,JFK,2208,1.615900,110.266300
2010,ATL,LAS,4153,5.642200,204.565100
2010,ATL,LAX,4937,6.374900,225.747400
2010,ATL,LGA,9266,3.379600,110.833700
2010,ATL,MCO,9297,5.378100,65.222800
2010,ATL,MSP,5403,6.816000,120.996900
2010,ATL,ORD,6548,11.299300,86.890000
2010,ATL,PHX,3841,3.147400,187.331200
2010,ATL,SEA,2820,0.131900,252.614500
2010,ATL,SFO,3148,2.278900,244.961200
2010,ATL,SLC,2942,6.298800,188.296100
2010,BOS,ATL,5426,10.589800,123.589600
2010,BOS,BWI,6841,8.168300,61.637200
2010,BOS,CLT,4053,5.312600,101.434700
2010,BOS,DEN,2984,2.350900,203.604200
2010,BOS,DFW,2838,10.054300,189.606100
2010,BOS,DTW,2241,11.154800,85.811700
2010,BOS,EWR,2554,5.748600,41.510600
2010,BOS,IAH,1746,6.770900,196.726800
2010,BOS,JFK,6610,4.852300,39.604400
2010,BOS,LAS,745,2.191900,271.311400
2010,BOS,LAX,2375,-0.650900,296.059400
2010,BOS,LGA,10188,0.423000,38.229500
2010,BOS,MCO,3181,9.609200,147.668300
2010,BOS,MSP,1724,6.577700,138.712900
2010,BOS,ORD,6314,7.314100,108.538800
2010,BOS,PHX,1315,1.699600,265.579500
2010,BOS,SEA,982,2.117100,286.445000
2010,BOS,SFO,2909,4.425600,302.137200
2010,BOS,SLC,656,3.307900,242.021300
2010,BWI,ATL,5964,7.055200,81.272300
2010,BWI,BOS,6824,4.757900,64.869600
2010,BWI,CLT,3691,4.534300,57.980500
2010,BWI,DEN,2630,0.586700,175.803800
2010,BWI,DFW,2285,7.523000,150.950100
2010,BWI,DTW,3305,9.147000,66.588800
2010,BWI,EWR,1249,4.814300,35.799000
2010,BWI,IAH,1527,2.104100,154.214800
2010,BWI,JFK,568,1.200700,40.190100
2010,BWI,LAS,1195,5.687900,246.241000
2010,BWI,LAX,1175,-3.549800,271.596600
2010,BWI,LGA,1057,4.546800,39.388800
2010,BWI,MCO,4613,3.976400,108.499000
2010,BWI,MSP,1190,7.640300,119.954600
2010,BWI,ORD,3669,2.009800,86.145500
2010,BWI,PHX,1823,2.009900,234.793200
2010,BWI,SEA,329,-1.528900,269.218800
2010,BWI,SFO,358,-1.754200,273.377100
2010,BWI,SLC,1007,0.870900,218.107200
2010,CLT,ATL,6880,6.996700,42.975100
2010,CLT,BOS,4065,0.963600,110.529600
2010,CLT,BWI,3694,1.494600,61.441800
2010,CLT,DEN,1746,-0.167200,159.737700
2010,CLT,DFW,4386,5.077500,121.316700
2010,CLT,DTW,2954,3.036600,78.779300
2010,CLT,EWR,5437,-1.218700,82.933100
2010,CLT,IAH,4642,3.493100,121.064000
2010,CLT,JFK,2115,3.553200,84.931400
2010,CLT,LAS,1750,1.518300,223.552000
2010,CLT,LAX,1422,3.230000,248.503500
2010,CLT,LGA,3574,-2.535000,85.416600
2010,CLT,MCO,3292,2.266100,76.042800
2010,CLT,MSP,1268,1.115100,119.852500
2010,CLT,ORD,5753,6.241800,84.200800
2010,CLT,PHX,2618,2.740300,208.014900
2010,CLT,SEA,673,5.350700,264.408600
2010,CLT,SFO,1472,3.327400,263.645400
2010,DEN,ATL,5371,3.751300,168.190500
2010,DEN,BOS,2744,-3.770800,244.426000
2010,DEN,BWI,2642,-6.955000,210.401200
2010,DEN,CLT,1744,-2.513800,188.554500
2010,DEN,DFW,6681,2.474900,96.289500
2010,DEN,DTW,3262,0.335400,160.752600
2010,DEN,EWR,2134,-6.200600,223.882400
2010,DEN,IAH,4529,0.851400,121.124800
2010,DEN,JFK,720,1.280600,225.027800
2010,DEN,LAS,7707,-0.819600,83.959400
2010,DEN,LAX,8418,-0.198000,110.878600
2010,DEN,LGA,2270,-3.584600,225.315400
2010,DEN,MCO,3119,-5.170600,214.103900
2010,DEN,MSP,6044,3.291500,99.678900
2010,DEN,ORD,5051,1.431600,126.559900
2010,DEN,PHX,8351,1.242200,81.981800
2010,DEN,SEA,5414,-3.381000,129.077000
2010,DEN,SFO,5738,0.991800,119.123900
2010,DEN,SLC,7949,4.700700,59.704000
2010,DFW,ATL,9477,2.663300,110.643900
2010,DFW,BOS,2829,-1.019400,217.507200
2010,DFW,BWI,2281,-2.657600,170.721600
2010,DFW,CLT,4383,-0.591400,137.768200
2010,DFW,DEN,6776,4.198500,87.648800
2010,DFW,DTW,2165,0.199500,141.072100
2010,DFW,EWR,3439,-6.959600,193.459400
2010,DFW,IAH,4663,4.998500,44.497100
2010,DFW,JFK,619,11.953200,192.407100
2010,DFW,LAS,4887,2.630000,130.198300
2010,DFW,LAX,6474,2.758900,150.870300
2010,DFW,LGA,4869,-9.200900,194.906300
2010,DFW,MCO,3928,4.071000,143.103900
2010,DFW,MSP,2878,2.700100,120.265500
2010,DFW,ORD,7302,2.557700,114.965400
2010,DFW,PHX,5060,2.488500,112.162300
2010,DFW,SEA,3763,2.568400,199.683200
2010,DFW,SFO,3855,6.210900,175.152000
2010,DFW,SLC,2805,2.270600,126.201400
2010,DTW,ATL,5065,7.862200,89.141000
2010,DTW,BOS,2240,5.249600,101.475000
2010,DTW,BWI,3307,6.871200,69.462400
2010,DTW,CLT,2924,4.640600,80.542400
2010,DTW,DEN,3218,4.013100,139.764100
2010,DTW,DFW,2257,7.150200,130.564900
2010,DTW,EWR,3337,7.444400,84.470200
2010,DTW,IAH,2074,1.539500,140.079600
2010,DTW,JFK,1024,19.469700,88.932600
2010,DTW,LAS,1940,6.007200,204.332500
2010,DTW,LAX,1980,3.160600,232.056100
2010,DTW,LGA,4284,2.997700,84.488800
2010,DTW,MCO,2986,1.773600,131.642700
2010,DTW,MSP,3015,6.444400,75.752200
2010,DTW,ORD,5222,9.649800,50.291500
2010,DTW,PHX,2961,0.810900,199.649100
2010,DTW,SEA,1251,2.557200,222.514800
2010,DTW,SFO,1253,2.538700,238.966500
2010,DTW,SLC,1377,2.357300,178.024000
2010,EWR,ATL,5739,12.842100,105.486300
2010,EWR,BOS,2587,13.175500,52.039800
2010,EWR,BWI,1252,11.924100,38.646200
2010,EWR,CLT,5448,8.894100,81.056900
2010,EWR,DEN,2137,5.420700,191.895200
2010,EWR,DFW,3434,5.129900,178.420200
2010,EWR,DTW,2928,11.564900,73.876000
2010,EWR,IAH,3871,4.545900,177.366100
2010,EWR,LAS,2060,2.671400,258.656300
2010,EWR,LAX,2626,8.009100,285.548400
2010,EWR,MCO,4692,10.738900,129.553100
2010,EWR,MSP,2700,15.382200,130.801500
2010,EWR,ORD,6631,10.161100,97.312300
2010,EWR,PHX,2315,2.482900,252.523100
2010,EWR,SEA,1938,-0.471600,278.961800
2010,EWR,SFO,3027,1.648800,291.975600
2010,EWR,SLC,651,3.631300,232.382500
2010,IAH,ATL,4914,7.046000,103.833500
2010,IAH,BOS,1711,2.507300,221.440100
2010,IAH,BWI,1525,-0.411800,174.268900
2010,IAH,CLT,4635,3.228300,137.936600
2010,IAH,DEN,4422,3.049100,115.042500
2010,IAH,DFW,4899,4.315000,43.086300
2010,IAH,DTW,2074,0.792700,154.701100
2010,IAH,EWR,3963,0.708000,192.195300
2010,IAH,JFK,250,7.252000,194.868000
2010,IAH,LAS,2565,-1.263200,150.163400
2010,IAH,LAX,3632,7.267100,167.082300
2010,IAH,LGA,2677,-0.743700,198.264800
2010,IAH,MCO,2174,6.867100,125.527600
2010,IAH,MSP,2229,5.045300,147.420800
2010,IAH,ORD,5634,6.614300,132.147000
2010,IAH,PHX,3682,1.702600,130.776800
2010,IAH,SEA,2654,0.512800,223.952100
2010,IAH,SFO,2653,4.508500,195.522100
2010,IAH,SLC,2011,3.051200,152.122300
2010,JFK,ATL,2207,12.495700,106.429100
2010,JFK,BOS,6478,9.450900,46.016800
2010,JFK,BWI,607,10.756200,44.673800
2010,JFK,CLT,2112,1.739600,83.142500
2010,JFK,DEN,718,2.656000,195.681100
2010,JFK,DFW,584,9.375000,185.532500
2010,JFK,DTW,925,22.408600,80.224900
2010,JFK,IAH,257,0.863800,181.529200
2010,JFK,LAS,3389,1.645300,263.309200
2010,JFK,LAX,8950,-1.733700,288.317300
2010,JFK,MCO,4928,9.383100,126.937900
2010,JFK,MSP,977,14.753300,135.216000
2010,JFK,ORD,2533,10.997200,103.507700
2010,JFK,PHX,1989,3.860700,256.572600
2010,JFK,SEA,1837,-1.497600,283.773000
2010,JFK,SFO,6525,-2.278800,296.435400
2010,JFK,SLC,1791,3.300400,233.934100
2010,LAS,ATL,4166,2.352600,233.497100
2010,LAS,BOS,746,4.915500,320.107200
2010,LAS,BWI,1203,-4.573600,288.650900
2010,LAS,CLT,1756,-3.828600,257.021600
2010,LAS,DEN,7949,1.807000,91.755700
2010,LAS,DFW,4913,2.245700,147.437200
2010,LAS,DTW,1939,3.211400,234.512600
2010,LAS,EWR,2066,1.162100,296.018900
2010,LAS,IAH,2568,3.224300,168.236800
2010,LAS,JFK,3408,-4.340700,299.916700
2010,LAS,LAX,10560,5.442700,44.144000
2010,LAS,MCO,663,-4.994000,274.905000
2010,LAS,MSP,2166,5.165700,176.135300
2010,LAS,ORD,3943,-3.136700,204.508700
2010,LAS,PHX,8503,2.814100,44.811500
2010,LAS,SEA,3948,-1.888000,119.327800
2010,LAS,SFO,6372,5.771300,65.046000
2010,LAS,SLC,5035,7.075500,59.015300
2010,LAX,ATL,5107,5.227500,256.040300
2010,LAX,BOS,2370,-2.439200,345.602500
2010,LAX,BWI,1177,-8.579400,307.510600
2010,LAX,CLT,1423,-3.434300,281.435700
2010,LAX,DEN,8487,2.288800,121.295300
2010,LAX,DFW,6499,7.566500,168.320500
2010,LAX,DTW,1832,7.340100,262.566000
2010,LAX,EWR,2640,2.905300,325.629200
2010,LAX,IAH,3661,11.414100,183.604800
2010,LAX,JFK,8972,-10.507400,325.160600
2010,LAX,LAS,10613,4.577700,42.760100
2010,LAX,MCO,1632,-1.571100,292.586400
2010,LAX,MSP,2353,6.884000,204.810000
2010,LAX,ORD,7184,0.689200,231.339800
2010,LAX,PHX,7546,4.004000,59.753900
2010,LAX,SEA,5088,-1.831000,129.446300
2010,LAX,SFO,11778,7.044900,54.400900
2010,LAX,SLC,4625,6.094100,89.178800
2010,LGA,ATL,9211,10.854100,103.575800
2010,LGA,BOS,10174,2.471900,45.573700
2010,LGA,BWI,1048,22.932300,40.928400
2010,LGA,CLT,3589,3.444100,79.354100
2010,LGA,DEN,2584,3.586300,192.362600
2010,LGA,DFW,4908,1.912200,177.325600
