weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1398,6.3863,-1,0.4728,0.2053,0.1173,0.0558,1398
0,01:00:00,525,4.9619,-2,0.4324,0.2400,0.1257,0.0381,525
0,02:00:00,127,3.7087,-2,0.4646,0.2126,0.1260,0.0472,127
0,03:00:00,47,-1.8085,-12,0.3404,0.1915,0.1702,0.0851,47
0,04:00:00,121,9.4380,-3,0.3719,0.1736,0.1074,0.0496,121
0,05:00:00,7117,2.4814,-4,0.3392,0.1104,0.0577,0.0294,7117
0,06:00:00,78672,2.1626,-3,0.3604,0.1184,0.0605,0.0288,78672
0,07:00:00,76206,3.6908,-3,0.3898,0.1501,0.0810,0.0373,76206
0,08:00:00,74228,5.0648,-2,0.4236,0.1779,0.0972,0.0422,74228
0,09:00:00,70468,6.1400,-1,0.4431,0.1971,0.1098,0.0459,70468
0,10:00:00,67929,7.0946,-1,0.4598,0.2118,0.1203,0.0511,67929
0,11:00:00,72005,8.2970,-1,0.4684,0.2222,0.1309,0.0577,72005
0,12:00:00,66382,9.9854,0,0.4817,0.2407,0.1457,0.0691,66382
0,13:00:00,70426,11.7896,1,0.5036,0.2617,0.1628,0.0796,70426
0,14:00:00,66421,13.2332,1,0.5076,0.2722,0.1741,0.0895,66421
0,15:00:00,65374,14.4221,2,0.5288,0.2909,0.1881,0.0955,65374
0,16:00:00,69543,15.6676,2,0.5300,0.3010,0.1996,0.1062,69543
0,17:00:00,72652,16.8490,2,0.5398,0.3173,0.2139,0.1163,72652
0,18:00:00,63545,16.5445,2,0.5318,0.3172,0.2184,0.1162,63545
0,19:00:00,64202,16.1678,2,0.5391,0.3188,0.2157,0.1137,64202
0,20:00:00,44247,15.7752,2,0.5272,0.3151,0.2144,0.1148,44247
0,21:00:00,37110,13.0269,2,0.5284,0.2922,0.1842,0.0874,37110
0,22:00:00,13451,9.9799,1,0.5060,0.2594,0.1483,0.0695,13451
0,23:00:00,5918,5.9662,-1,0.4547,0.2202,0.1196,0.0537,5918
1,00:00:00,1355,5.3048,-1,0.4590,0.1963,0.0989,0.0376,1355
1,01:00:00,505,2.8634,-3,0.3941,0.1683,0.0950,0.0376,505
1,02:00:00,124,-1.4113,-4,0.4194,0.1371,0.0484,0.0242,124
1,03:00:00,46,1.0870,-13,0.3478,0.2391,0.1957,0.1087,46
1,04:00:00,113,6.1770,-3,0.4159,0.1150,0.0796,0.0442,113
1,05:00:00,6970,1.1839,-5,0.3155,0.0970,0.0495,0.0268,6970
1,06:00:00,77432,0.3612,-4,0.3399,0.0995,0.0484,0.0225,77432
1,07:00:00,74159,1.5496,-3,0.3689,0.1265,0.0624,0.0265,74159
1,08:00:00,72154,2.6938,-3,0.3938,0.1499,0.0750,0.0318,72154
1,09:00:00,68533,3.4484,-3,0.4018,0.1640,0.0873,0.0354,68533
1,10:00:00,64613,4.2440,-2,0.4147,0.1733,0.0940,0.0387,64613
1,11:00:00,68648,4.8014,-2,0.4170,0.1801,0.0994,0.0420,68648
1,12:00:00,64127,6.3091,-2,0.4278,0.1954,0.1117,0.0505,64127
1,13:00:00,67194,8.9309,-1,0.4536,0.2205,0.1327,0.0645,67194
1,14:00:00,63987,10.7939,-1,0.4688,0.2391,0.1475,0.0745,63987
1,15:00:00,63126,12.5889,0,0.4893,0.2576,0.1654,0.0845,63126
1,16:00:00,67301,13.4289,0,0.4936,0.2687,0.1739,0.0906,67301
1,17:00:00,70331,15.2479,1,0.5118,0.2927,0.1948,0.1043,70331
1,18:00:00,61830,14.9868,1,0.5027,0.2913,0.1968,0.1072,61830
1,19:00:00,62102,14.9311,1,0.5090,0.2950,0.1987,0.1072,62102
1,20:00:00,42392,14.3373,0,0.4937,0.2907,0.1969,0.1056,42392
1,21:00:00,35898,11.7703,0,0.4972,0.2695,0.1713,0.0842,35898
1,22:00:00,12400,8.6491,0,0.4775,0.2392,0.1415,0.0642,12400
1,23:00:00,4916,5.4227,-3,0.4241,0.2085,0.1210,0.0582,4916
2,00:00:00,1302,3.0876,-3,0.4124,0.1751,0.0952,0.0461,1302
2,01:00:00,500,1.7320,-4,0.4060,0.1600,0.0920,0.0340,500
2,02:00:00,109,3.8624,-2,0.4037,0.1193,0.0734,0.0459,109
2,03:00:00,40,-2.7000,-13,0.4750,0.2000,0.1000,0.0250,40
2,04:00:00,111,-0.9099,-5,0.3153,0.1081,0.0541,0.0360,111
2,05:00:00,7029,1.4834,-5,0.3214,0.0955,0.0488,0.0267,7029
2,06:00:00,77725,1.2651,-4,0.3467,0.1081,0.0543,0.0256,77725
2,07:00:00,74516,3.0889,-3,0.3715,0.1367,0.0727,0.0349,74516
2,08:00:00,72294,4.8525,-2,0.4105,0.1673,0.0915,0.0423,72294
2,09:00:00,68508,5.7518,-2,0.4244,0.1855,0.1031,0.0472,68508
2,10:00:00,65563,6.0335,-2,0.4286,0.1895,0.1061,0.0479,65563
2,11:00:00,69421,6.7759,-2,0.4369,0.2000,0.1134,0.0506,69421
2,12:00:00,64163,8.0588,-1,0.4467,0.2114,0.1253,0.0590,64163
2,13:00:00,68497,10.5047,0,0.4803,0.2388,0.1438,0.0700,68497
2,14:00:00,64313,12.0355,0,0.4925,0.2554,0.1590,0.0795,64313
2,15:00:00,63600,13.6817,1,0.5190,0.2784,0.1762,0.0892,63600
2,16:00:00,67934,14.9103,2,0.5304,0.2925,0.1893,0.0961,67934
2,17:00:00,70992,16.6447,3,0.5454,0.3129,0.2066,0.1089,70992
2,18:00:00,62339,16.9218,2,0.5387,0.3166,0.2136,0.1137,62339
2,19:00:00,62771,17.0459,3,0.5472,0.3259,0.2169,0.1151,62771
2,20:00:00,43141,17.1615,3,0.5446,0.3282,0.2246,0.1176,43141
2,21:00:00,36538,13.8280,2,0.5357,0.2997,0.1901,0.0914,36538
2,22:00:00,12830,9.7259,1,0.5044,0.2620,0.1525,0.0653,12830
2,23:00:00,5527,5.9528,-2,0.4502,0.2282,0.1259,0.0536,5527
3,00:00:00,1357,2.9337,-3,0.4060,0.1739,0.0929,0.0442,1357
3,01:00:00,511,1.2916,-4,0.3933,0.1703,0.0841,0.0294,511
3,02:00:00,121,2.6446,-6,0.4050,0.1901,0.1157,0.0579,121
3,03:00:00,44,2.2727,-8,0.3182,0.2727,0.1364,0.0909,44
3,04:00:00,111,3.0450,-4,0.3874,0.1532,0.0901,0.0360,111
3,05:00:00,7105,1.1257,-4,0.3372,0.1034,0.0466,0.0231,7105
3,06:00:00,78682,1.5453,-3,0.3607,0.1142,0.0541,0.0246,78682
3,07:00:00,75740,2.9396,-3,0.3878,0.1432,0.0727,0.0312,75740
3,08:00:00,73415,4.4941,-2,0.4229,0.1698,0.0892,0.0378,73415
3,09:00:00,69577,5.7981,-2,0.4391,0.1893,0.1042,0.0431,69577
3,10:00:00,66803,6.7872,-1,0.4556,0.2027,0.1117,0.0491,66803
3,11:00:00,70669,8.0788,-1,0.4661,0.2170,0.1228,0.0549,70669
3,12:00:00,64994,10.1846,0,0.4867,0.2355,0.1402,0.0660,64994
3,13:00:00,68950,13.1698,1,0.5196,0.2690,0.1665,0.0826,68950
3,14:00:00,64873,15.1944,2,0.5377,0.2886,0.1842,0.0956,64873
3,15:00:00,63615,17.4216,3,0.5660,0.3171,0.2043,0.1053,63615
3,16:00:00,67696,19.5792,4,0.5815,0.3374,0.2240,0.1202,67696
3,17:00:00,70562,21.7769,6,0.6017,0.3649,0.2458,0.1340,70562
3,18:00:00,62081,22.7243,6,0.6002,0.3718,0.2575,0.1449,62081
3,19:00:00,62706,22.7886,6,0.6138,0.3817,0.2625,0.1432,62706
3,20:00:00,43701,24.2577,7,0.6151,0.3932,0.2772,0.1544,43701
3,21:00:00,36680,20.2576,6,0.6111,0.3647,0.2400,0.1246,36680
3,22:00:00,13411,15.5962,4,0.5804,0.3221,0.1993,0.0968,13411
3,23:00:00,6305,12.2282,3,0.5437,0.2991,0.1746,0.0822,6305
4,00:00:00,1389,6.5292,-1,0.4665,0.1965,0.1202,0.0533,1389
4,01:00:00,507,5.5897,-2,0.4438,0.2051,0.1124,0.0493,507
4,02:00:00,123,14.2927,1,0.5203,0.2602,0.1545,0.0732,123
4,03:00:00,47,-2.4255,-14,0.2979,0.2128,0.1277,0.0638,47
4,04:00:00,117,6.1453,-4,0.3504,0.1538,0.0940,0.0598,117
4,05:00:00,7046,1.7804,-4,0.3578,0.1072,0.0500,0.0253,7046
4,06:00:00,78243,2.1511,-3,0.3819,0.1219,0.0577,0.0260,78243
4,07:00:00,75543,3.1396,-3,0.3967,0.1485,0.0758,0.0311,75543
4,08:00:00,73412,5.4751,-2,0.4376,0.1842,0.0971,0.0405,73412
4,09:00:00,69426,6.0702,-1,0.4547,0.2002,0.1093,0.0435,69426
4,10:00:00,66847,7.4469,0,0.4723,0.2152,0.1197,0.0517,66847
4,11:00:00,70764,8.6546,0,0.4896,0.2343,0.1315,0.0558,70764
4,12:00:00,65243,10.8590,1,0.5135,0.2530,0.1493,0.0688,65243
4,13:00:00,69161,13.9337,2,0.5469,0.2866,0.1762,0.0859,69161
4,14:00:00,65147,15.6380,3,0.5652,0.3063,0.1927,0.0965,65147
4,15:00:00,64303,17.5653,4,0.5848,0.3291,0.2111,0.1058,64303
4,16:00:00,68398,19.8841,5,0.5942,0.3511,0.2315,0.1219,68398
4,17:00:00,71422,22.0577,6,0.6118,0.3729,0.2500,0.1359,71422
4,18:00:00,62910,22.3201,6,0.6023,0.3757,0.2597,0.1431,62910
4,19:00:00,63412,22.8020,7,0.6120,0.3839,0.2659,0.1450,63412
4,20:00:00,44383,23.8376,7,0.6185,0.3993,0.2807,0.1527,44383
4,21:00:00,37262,19.3749,6,0.6053,0.3615,0.2379,0.1182,37262
