weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,1201,0.8851,-5,0.3589,0.1524,0.0824,0.0325,1201
0,01:00:00,622,-0.1077,-6,0.3328,0.1334,0.0595,0.0273,622
0,02:00:00,130,-0.1231,-5,0.3308,0.1385,0.0462,0.0385,130
0,03:00:00,83,-1.9157,-6,0.3253,0.1446,0.0723,0.0120,83
0,04:00:00,105,-2.9524,-6,0.3143,0.0952,0.0381,0.0190,105
0,05:00:00,11684,-2.6779,-8,0.2353,0.0736,0.0389,0.0212,11684
0,06:00:00,66261,-2.3860,-7,0.2576,0.0768,0.0395,0.0202,66261
0,07:00:00,60830,-1.4937,-6,0.2858,0.1021,0.0538,0.0264,60830
0,08:00:00,63079,0.1691,-6,0.3099,0.1177,0.0651,0.0330,63079
0,09:00:00,54322,0.9948,-5,0.3251,0.1321,0.0761,0.0369,54322
0,10:00:00,57591,2.0664,-5,0.3447,0.1420,0.0814,0.0396,57591
0,11:00:00,58072,2.3639,-5,0.3445,0.1501,0.0859,0.0425,58072
0,12:00:00,54608,3.7859,-4,0.3639,0.1633,0.0978,0.0488,54608
0,13:00:00,57311,4.5778,-4,0.3809,0.1769,0.1046,0.0510,57311
0,14:00:00,54868,5.9441,-4,0.3962,0.1929,0.1176,0.0603,54868
0,15:00:00,54179,6.1815,-3,0.4051,0.1986,0.1204,0.0603,54179
0,16:00:00,55115,6.8090,-3,0.4099,0.2080,0.1298,0.0662,55115
0,17:00:00,61597,7.2383,-3,0.4137,0.2160,0.1387,0.0705,61597
0,18:00:00,51925,7.2657,-3,0.4173,0.2206,0.1384,0.0709,51925
0,19:00:00,53274,6.6142,-4,0.4042,0.2164,0.1390,0.0693,53274
0,20:00:00,36440,6.8566,-3,0.4143,0.2237,0.1403,0.0661,36440
0,21:00:00,29430,5.5586,-3,0.4068,0.2046,0.1228,0.0578,29430
0,22:00:00,14180,3.0816,-4,0.3793,0.1744,0.1007,0.0417,14180
0,23:00:00,4564,3.0778,-4,0.3876,0.1731,0.0966,0.0425,4564
1,00:00:00,990,1.9141,-4,0.3556,0.1293,0.0697,0.0354,990
1,01:00:00,480,-0.9333,-6,0.3375,0.1542,0.0896,0.0271,480
1,02:00:00,124,-0.6694,-7,0.3145,0.1290,0.0806,0.0242,124
1,03:00:00,79,0.1392,-5,0.3418,0.1139,0.0633,0.0380,79
1,04:00:00,92,-0.1304,-6,0.4130,0.1413,0.0652,0.0435,92
1,05:00:00,10990,-3.6166,-8,0.2224,0.0666,0.0375,0.0212,10990
1,06:00:00,63778,-3.6246,-7,0.2399,0.0706,0.0365,0.0186,63778
1,07:00:00,58004,-2.8977,-7,0.2648,0.0888,0.0463,0.0216,58004
1,08:00:00,60426,-1.5576,-6,0.2916,0.1064,0.0558,0.0259,60426
1,09:00:00,51915,-1.2690,-6,0.2940,0.1129,0.0623,0.0278,51915
1,10:00:00,54328,0.0616,-6,0.3167,0.1276,0.0707,0.0320,54328
1,11:00:00,54843,-0.0042,-6,0.3142,0.1257,0.0701,0.0327,54843
1,12:00:00,52189,1.3887,-5,0.3340,0.1420,0.0817,0.0371,52189
1,13:00:00,54715,2.2598,-5,0.3441,0.1514,0.0888,0.0423,54715
1,14:00:00,52669,3.9699,-5,0.3668,0.1717,0.1041,0.0510,52669
1,15:00:00,51715,4.6054,-4,0.3775,0.1792,0.1101,0.0549,51715
