weekday,time_bin,total_flights,avg_arr_delay,med_arr_delay,perc_above_0,perc_above_15,perc_above_30,perc_above_60
0,00:00:00,12783,3.0358,0,0.3957,0.1692,0.0917,0.0399
0,01:00:00,6192,0.0845,0,0.3396,0.1411,0.0733,0.0313
0,02:00:00,1348,3.0452,0,0.3746,0.1766,0.0979,0.0497
0,03:00:00,599,7.5008,0,0.4090,0.2154,0.1569,0.0718
0,04:00:00,777,3.7992,0,0.3488,0.1647,0.1004,0.0489
0,05:00:00,86103,-1.1676,0,0.2808,0.0837,0.0420,0.0218
0,06:00:00,688881,-0.2867,0,0.3112,0.0969,0.0481,0.0227
0,07:00:00,675394,1.1056,0,0.3449,0.1247,0.0648,0.0290
0,08:00:00,675828,2.5186,0,0.3735,0.1477,0.0789,0.0354
0,09:00:00,621817,3.5779,0,0.3893,0.1629,0.0901,0.0401
0,10:00:00,618282,4.7125,0,0.4067,0.1766,0.0996,0.0451
0,11:00:00,638386,5.5159,0,0.4155,0.1864,0.1075,0.0493
0,12:00:00,604403,6.6841,0,0.4269,0.1991,0.1173,0.0562
0,13:00:00,630170,8.0208,0,0.4446,0.2158,0.1301,0.0627
0,14:00:00,592754,9.4694,0,0.4577,0.2327,0.1440,0.0715
0,15:00:00,600380,10.3858,0,0.4709,0.2446,0.1534,0.0762
0,16:00:00,608229,11.1224,0,0.4712,0.2528,0.1617,0.0831
0,17:00:00,662503,12.1489,0,0.4797,0.2679,0.1756,0.0925
0,18:00:00,585856,12.4448,0,0.4826,0.2728,0.1799,0.0946
0,19:00:00,568122,11.9507,0,0.4755,0.2698,0.1789,0.0935
0,20:00:00,400953,11.6282,0,0.4741,0.2694,0.1780,0.0909
0,21:00:00,308279,10.0739,0,0.4677,0.2512,0.1596,0.0785
0,22:00:00,136382,6.5230,0,0.4283,0.2107,0.1277,0.0614
0,23:00:00,48755,4.2854,0,0.4126,0.1916,0.1107,0.0504
1,00:00:00,11852,1.3707,0,0.3678,0.1468,0.0766,0.0344
1,01:00:00,5723,-1.0154,0,0.3388,0.1314,0.0702,0.0280
